#Gene_A	Gene_B
850320	853481
856155	856563
851212	853821
852755	854820
851415	852492
851632	852802
850548	850594
852249	852719
851153	855288
855470	855512
851993	853383
850623	852701
853167	856763
7316	852203
852109	853434
851259	853361
853811	855841
855880	856389
854999	855520
852373	854999
850636	856438
851000	856382
852971	855613
850647	856732
851633	852755
851212	853714
854229	855613
851212	853646
850914	851706
850647	852982
854162	854289
851475	851988
855897	856870
854785	856049
852853	856607
853653	854827
851879	852122
852003	856275
5848745	856155
855030	855030
851811	855408
851075	852547
850327	853537
852755	853625
850716	856126
851993	852283
851052	851933
852547	852578
850539	853283
851274	855013
851212	855640
851195	856461
853728	855015
851030	854922
852870	855911
851136	852433
851983	852688
853525	854286
852911	854780
851394	854717
851100	854372
851988	855874
854954	855828
851933	855283
1466445	852814
855256	856612
851928	852455
853303	856351
852704	855512
851212	856227
855620	855957
850563	855623
850300	854978
850400	852385
853275	856862
853364	853544
851702	852755
852049	852577
850549	851643
850440	850883
851212	851875
850677	9189
850981	852749
851152	851771
855158	855315
854208	855512
852295	856658
852499	856850
850410	850636
852233	853335
850320	851992
852319	853335
850995	851110
850440	852202
850956	853157
852973	855592
852755	853100
852255	853283
853392	853503
851212	853941
852493	856626
854192	855828
851259	856049
854162	855606
850919	855649
852406	852519
851548	853191
850764	855613
851037	852248
852127	852379
851467	853832
855950	856746
852294	852744
855145	855969
855841	856412
855048	855945
851731	852695
854162	856044
850568	852861
853892	9164922
496247	852376
851988	853851
852732	855616
851212	855944
853817	854204
851436	854428
851596	855836
850375	853275
851193	854778
850568	853091
851023	851212
851193	855259
854821	856461
850440	854658
851030	853473
850401	855758
854263	856155
852439	854446
74915	854444
856311	856537
851394	851831
851394	853079
851313	854385
850318	852501
850676	854162
852069	855568
854791	856912
854387	854456
855267	855466
850334	851558
850320	853202
850549	855664
851061	854543
851494	855328
852248	855601
854446	855491
853817	856254
851318	851661
851212	855968
851251	852755
850633	854168
850656	853315
852703	853479
851403	853161
852283	855328
851416	853422
851259	854227
850711	856514
1466399	853072
852003	856918
851394	855104
851125	853458
851259	854691
852763	853641
852424	854353
854418	855025
851823	855512
850787	854123
850397	853475
852018	854059
854777	855450
1466445	850620
850349	854085
851747	856612
850933	853589
856603	9164925
852294	853747
850877	851048
852826	90993
852468	853170
851798	852762
850440	853688
10320	850383
851142	851814
853839	854915
851212	855295
850300	852566
855900	856435
853729	855418
851212	855688
851205	853252
852295	853036
852775	855705
853760	855830
852245	852378
852018	856049
850594	852697
852990	856720
853365	856088
850623	854263
851105	852688
852709	856675
854356	855787
852439	856012
850549	852665
852702	853647
