Gene_A	Gene_B
2541185	2541437
2541633	2542196
2539782	2541117
2538689	2539087
2538787	2539930
2539087	2543281
2541817	2542173
2538935	2539850
2541441	2543517
2539785	2540569
2539351	2541813
2541531	3361541
2541213	2542729
2539225	2541531
2541691	2543444
2540116	2541813
2539047	2540422
2539820	2540318
2541446	2542358
2542090	2908
2541531	2542155
2542090	3361526
2541466	2542173
2541368	2908
2541368	3361526
2541569	2541813
2538808	2538808
2540398	5802781
2538907	2539864
2539205	2541699
2539838	2542546
2542733	2543502
2540712	2542619
2539817	2542239
2540888	3361384
2543372	2543372
2539055	2542173
2539914	2540282
2540398	2541383
2538957	2539560
2539869	3361406
2541975	2543001
2538959	2542844
2538907	2539374
2540268	2541813
2539481	2539730
2540852	2542531
2539560	2540464
2539449	2541117
2542197	2542197
2539560	3361378
2540274	2541772
2542583	2908
2539744	2542558
2542615	2543187
2540919	2542175
2539560	2540318
2539050	2542239
2539651	2543467
2541162	2541531
2541099	2541193
2540071	2541582
2542031	2542740
2539102	2541117
2539694	2541873
2543276	2543426
2538901	2543254
2539479	2542148
2538804	2540212
2541077	2543254
2539440	2539785
2540366	2540398
2541098	2541531
2539476	2539481
2539730	2540801
2540320	2543058
2542031	2543129
2539047	2542252
2541713	2541735
2541762	2542173
2539641	2542824
2539477	2540977
2539919	2539919
2542023	855319
2541346	2543042
2539671	2542875
2539105	2541813
2540980	2541531
2542260	2543208
2541813	2542603
2538762	399088
2541585	3361178
2541143	2542256
2542242	2542740
2541143	2543631
2538843	2541531
2539241	2541531
2541437	2541616
2540778	3361430
2540753	2542910
2540565	2542121
2539035	2539047
2540620	852284
2539537	2541889
2539182	2543058
2540246	2540424
2539958	2543678
2540580	2541470
2539764	2540128
2541616	2543413
2540318	2540474
2539659	2543075
2540291	2541814
2541746	2542727
2540841	3361384
2542559	2543040
2542176	2542176
2539285	2539285
2539337	2540398
2540580	2541518
2541268	2543040
2541612	2542293
2539780	2541364
2540690	2542655
2539235	2539847
2539998	2541532
2540778	2541033
2541531	2542463
2541531	2542298
2539004	2543670
2539560	2540567
2538858	2539958
2539201	2540927
2540927	2543453
2541344	2541772
2542173	2542856
2540686	2541659
2539568	2540219
2540316	2541306
2541143	2542520
2541941	2543208
2541159	2543248
2540409	2543553
2540479	2541466
2541181	2542000
2538881	2538881
2541609	2542531
2539164	2541213
2540328	2540691
2540914	2540914
2538744	2542226
2539560	2542336
2538762	2539667
2539066	2541531
2539414	2543646
2541709	2543409
2542646	3361327
2541143	2543079
2542002	2542806
2543517	2543646
2540304	2542744
2542939	3361384
2540817	2541117
2538767	2542928
2539147	2543058
2540814	2541386
2543583	2543583
2541854	2542358
2539838	2543310
2539050	2542198
2541203	2541695
2539740	2541281
2539123	2541590
2541776	399088
2543051	2908
2539538	2543254
2540711	2543278
2539705	2540917
2539857	2540024
2540441	2541531
2539164	2542796
2542084	2908
14218235	2539958
2540236	2541184
2538954	2539847
2540128	2540936
2541168	2542978
2540841	2541332
2540927	2541117
2540841	2543088
2539216	2541531
2541531	2541815
2539481	2539941
2541772	2543672
2540936	2542103
2540471	2540555
2539560	2543626
2539481	2542144
2540243	2541813
2541592	2541633
2539997	2543545
2539027	2542632
2540868	2543537
2540911	2541512
2539155	2542367
2542649	2543475
2540285	2542045
2539703	2541900
2541281	2543336
2540398	2541914
2542173	2543089
2539050	2541143
2539943	2540772
2540470	2540470
2542256	2543413
2540565	2908
2539216	2539847
2541814	2543042
2539770	2539966
2540398	3361354
2540498	3361558
2540401	2541143
2542410	2543506
2539437	2541975
2539540	2540398
2541152	2908
2539481	2539775
2542164	2543042
2541289	2543254
2541055	2542988
2542198	2542732
2540016	2540398
2540645	2541143
2540072	2541326
2539547	2539547
2541556	2543417
2541318	2541659
2540203	2542173
2539678	2541772
2541590	2542029
2540778	2908
2539928	2540324
2542795	2543204
2541643	2541908
2540120	2541531
2543298	2543460
2540927	2542290
2538844	3361521
2540873	2542173
2543007	2543007
2540691	2542000
2540392	2542732
2540725	2540725
2539187	2542358
2538852	2540718
2540398	2541418
2539640	3361532
2543058	2543682
2541255	2541531
2540784	2542477
2541054	2541054
2540339	2541531
2539047	2543408
2539785	2541463
2539214	2542502
2541122	3361521
2541437	2542256
